user_id,username,upassword,first_name,last_name,birthday,uheight,uweight,bmi,num_preg
0,nfp8122,nfp8122,Mary,Walker,1986-11-02 07:33:43,63,120,0.030234315948601664,0
1,nfp8114,nfp8114,Angelica,Smith,1983-05-23 01:47:38,68,185,0.040008650519031144,0
2,nfp8109,nfp8109,Lisa,Patel,1994-01-23 02:47:26,66,180,0.04132231404958678,0
3,nfp8106,nfp8106,Denise,Green,1998-03-24 11:40:25,71,200,0.0396746677246578,0
4,nfp8024,nfp8024,Liz,Nguyen,2000-02-02 16:03:13,65,150,0.03550295857988166,0
5,nfp8020,nfp8020,Valerie,Campbell,1989-05-11 09:57:00,65,155,0.036686390532544376,0
6,nfp8026,nfp8026,Hannah,Gonzales,1983-11-25 10:38:45,67,137,0.030519046558253507,0
7,nfp8030,nfp8030,Norma,Evans,1999-09-09 04:45:22,65,135,0.03195266272189349,0
8,nfp8031,nfp8031,Karen,Santos,1992-10-22 06:58:56,66,136,0.031221303948576674,0
9,nfp8032,nfp8032,Vanessa,Solis,1991-09-22 17:36:50,65,136,0.03218934911242603,0
10,nfp8034,nfp8034,Margaret,Vasquez,1998-07-04 07:16:05,72,178,0.03433641975308642,0
11,nfp8036,nfp8036,Renee,Carter,1995-07-11 11:37:01,63,106,0.02670697908793147,0
12,nfp8040,nfp8040,Sonia,Rios,1999-04-07 09:01:24,69,130,0.027305187985717287,0
13,nfp8041,nfp8041,Katie,Figueroa,1987-09-24 21:23:39,65,180,0.04260355029585799,0
14,nfp8042,nfp8042,Sandy,Pena,1985-09-27 02:41:32,67,187,0.04165738471820005,0
15,nfp8043,nfp8043,Sharon,Gonzalez,1990-07-21 07:33:11,70,168,0.03428571428571429,0
16,nfp8045,nfp8045,Heather,Torres,1985-06-26 22:35:33,63,170,0.04283194759385236,0
17,nfp8046,nfp8046,Lucy,Sandoval,1985-01-22 22:41:51,67,175,0.038984183559812875,0
18,nfp8047,nfp8047,Isabel,Mitchell,1991-04-01 04:00:20,64,220,0.0537109375,0
19,nfp8049,nfp8049,Emma,James,1999-03-26 14:29:02,63,95,0.023935500125976318,0
20,nfp8050,nfp8050,Erica,Cabrera,2001-10-09 07:00:22,63,220,0.05542957923910305,0
21,nfp8051,nfp8051,Irma,Ortiz,1999-07-30 12:47:20,65,120,0.028402366863905324,0
22,nfp8057,nfp8057,Cathy,Hernández,1988-04-28 18:10:36,65,209,0.049467455621301774,0
23,nfp8058,nfp8058,Carol,Garza,1991-08-16 23:59:08,64,170,0.04150390625,0
24,nfp8060,nfp8060,Alicia,Molina,1985-05-04 18:21:37,62,110,0.02861602497398543,0
25,nfp8062,nfp8062,Lorena,Anderson,1991-04-04 19:48:53,64,120,0.029296875,0
26,nfp8063,nfp8063,Sandra,Alvarez,2000-03-03 00:48:20,67,115,0.02561817776787703,0
