user_id,username,upassword,first_name,last_name,birthday,uheight,uweight,bmi,num_preg
0,nfp8122,nfp8122,Mary,Walker,1987-02-05,63,120,0.030234315948601664,0
1,nfp8114,nfp8114,Angelica,Smith,1983-10-03,68,185,0.040008650519031144,0
2,nfp8109,nfp8109,Lisa,Patel,1994-04-16,66,180,0.04132231404958678,0
3,nfp8106,nfp8106,Denise,Green,1997-08-24,71,200,0.0396746677246578,0
4,nfp8024,nfp8024,Liz,Nguyen,1999-05-25,65,150,0.03550295857988166,0
5,nfp8020,nfp8020,Valerie,Campbell,1989-07-12,65,155,0.036686390532544376,0
6,nfp8026,nfp8026,Hannah,Gonzales,1984-02-20,67,137,0.030519046558253507,0
7,nfp8030,nfp8030,Norma,Evans,2000-02-29,65,135,0.03195266272189349,0
8,nfp8031,nfp8031,Karen,Santos,1992-12-05,66,136,0.031221303948576674,0
9,nfp8032,nfp8032,Vanessa,Solis,1991-05-05,65,136,0.03218934911242603,0
10,nfp8034,nfp8034,Margaret,Vasquez,1999-02-27,72,178,0.03433641975308642,0
11,nfp8036,nfp8036,Renee,Carter,1995-04-25,63,106,0.02670697908793147,0
12,nfp8040,nfp8040,Sonia,Rios,1998-06-25,69,130,0.027305187985717287,0
13,nfp8041,nfp8041,Katie,Figueroa,1987-05-03,65,180,0.04260355029585799,0
14,nfp8042,nfp8042,Sandy,Pena,1985-08-15,67,187,0.04165738471820005,0
15,nfp8043,nfp8043,Sharon,Gonzalez,1991-02-27,70,168,0.03428571428571429,0
16,nfp8045,nfp8045,Heather,Torres,1985-06-12,63,170,0.04283194759385236,0
17,nfp8046,nfp8046,Lucy,Sandoval,1984-12-28,67,175,0.038984183559812875,0
18,nfp8047,nfp8047,Isabel,Mitchell,1990-09-02,64,220,0.0537109375,0
19,nfp8049,nfp8049,Emma,James,1998-09-25,63,95,0.023935500125976318,0
20,nfp8050,nfp8050,Erica,Cabrera,2002-03-02,63,220,0.05542957923910305,0
21,nfp8051,nfp8051,Irma,Ortiz,2000-01-18,65,120,0.028402366863905324,0
22,nfp8057,nfp8057,Cathy,Hernández,1988-05-14,65,209,0.049467455621301774,0
23,nfp8058,nfp8058,Carol,Garza,1991-09-10,64,170,0.04150390625,0
24,nfp8060,nfp8060,Alicia,Molina,1985-11-05,62,110,0.02861602497398543,0
25,nfp8062,nfp8062,Lorena,Anderson,1990-11-09,64,120,0.029296875,0
26,nfp8063,nfp8063,Sandra,Alvarez,2000-01-12,67,115,0.02561817776787703,0
27,nfp8064,nfp8064,Kimberly,Medina,1991-10-26,68,170,0.03676470588235294,0
28,nfp8066,nfp8066,Brenda,Love,1984-06-10,62,141,0.03668054110301769,0
29,nfp8068,nfp8068,Barbara,Cruz,1983-05-01,67,201,0.04477611940298507,0
30,nfp8069,nfp8069,Nancy,Cook,2000-06-13,68,160,0.03460207612456748,0
31,nfp8072,nfp8072,Carolina,Taylor,1997-04-16,62,190,0.049427679500520294,0
32,nfp8073,nfp8073,Kathy,Jackson,1993-12-16,62,145,0.037721123829344436,0
33,nfp8074,nfp8074,Cristina,Hernandez,1986-09-30,65,300,0.07100591715976332,0
34,nfp8076,nfp8076,Alejandra,Robles,1993-12-16,67,135,0.030073513031855646,0
35,nfp8079,nfp8079,Wendy,Kim,1986-02-15,64,130,0.03173828125,0
36,nfp8080,nfp8080,Rebecca,Martinez,1984-07-30,69,260,0.054610375971434574,0
37,nfp8083,nfp8083,Cynthia,Alvarado,1989-05-01,66,160,0.03673094582185491,0
38,nfp8085,nfp8085,Tina,Rivas,1993-09-22,68,170,0.03676470588235294,0
39,nfp8087,nfp8087,Sara,Escobar,1994-08-27,61,106,0.02848696586938995,0
40,nfp8091,nfp8091,Angie,Stewart,1996-05-06,64,135,0.032958984375,0
41,nfp8094,nfp8094,Elizabeth,Lee,1991-09-05,63,120,0.030234315948601664,0
42,nfp8099,nfp8099,Amber,Ayala,1994-07-28,62,194,0.050468262226847034,0
43,nfp8100,nfp8100,Grace,Rodriguez,1986-11-29,70,180,0.036734693877551024,0
44,nfp8101,nfp8101,Cheryl,Lewis,1985-03-29,62,125,0.032518210197710715,0
45,nfp8102,nfp8102,Ann,Alexander,1987-01-06,66,179,0.04109274563820019,0
46,nfp8110,nfp8110,Linda,Roberts,1992-09-08,66,165,0.03787878787878788,0
47,nfp8113,nfp8113,Stephanie,Chavez,1994-11-30,60,190,0.05277777777777778,0
48,nfp8116,nfp8116,Amanda,Rodríguez,1995-11-19,63,160,0.040312421264802216,0
49,nfp8124,nfp8124,Alexandra,Khan,1987-03-22,62,189,0.049167533818938604,0
50,nfp8129,nfp8129,Julie,Collins,1999-05-10,63,140,0.03527336860670194,0
51,nfp8133,nfp8133,Julia,Romero,1987-01-09,63,122,0.03073822121441169,0
52,nfp8137,nfp8137,Kim,Thomas,1981-12-29,65,160,0.0378698224852071,0
53,nfp8140,nfp8140,Dawn,Edwards,1998-11-20,68,124,0.026816608996539794,0
54,nfp8143,nfp8143,Gloria,Hill,2000-05-11,59,130,0.037345590347601265,0
55,nfp8144,nfp8144,Nicole,Flores,1996-01-05,67,120,0.026732011583871687,0
56,nfp8152,nfp8152,Esther,Moreno,1982-11-02,70,157,0.032040816326530615,0
57,nfp8154,nfp8154,Pamela,Harris,1992-08-15,64,170,0.04150390625,0
58,nfp8159,nfp8159,Leticia,Bailey,1989-09-28,66,268,0.06152433425160698,0
59,nfp8161,nfp8161,Tiffany,Ruiz,1996-06-23,68,128,0.02768166089965398,0
60,nfp8164,nfp8164,Diana,Nunez,1987-05-30,66,185,0.04247015610651974,0
61,nfp8165,nfp8165,Anna,Vazquez,1992-06-01,64,214,0.05224609375,0
62,nfp8168,nfp8168,Jenny,Duran,1986-12-26,69,165,0.03465658475110271,0
63,nfp8172,nfp8172,Janet,Martin,1990-11-16,65,161,0.038106508875739645,0
64,nfp8173,nfp8173,Michelle,Clark,1987-06-12,66,127,0.029155188246097336,0
65,nfp8174,nfp8174,Erika,Fernandez,1992-09-10,63,200,0.05039052658100277,0
66,nfp8176,nfp8176,Evelyn,Campos,1998-04-16,68,135,0.029195501730103806,0
67,nfp8177,nfp8177,Eva,Reyes,1986-09-17,63,140,0.03527336860670194,0
68,nfp8178,nfp8178,Dana,Perez,1993-12-22,69,138,0.028985507246376812,0
69,nfp8179,nfp8179,Victoria,Jones,1982-02-12,64,125,0.030517578125,0
